Instances,divider_greedy_ls,divider_greedy_ls_100,edge_betweenness,eigenvector,fast_greedy,label_propagation,multilevel,spinglass,walktrap
community_1000_0.1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
community_1000_0.2,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
community_1000_0.3,0.7571077161410604,0.8582973074540742,1.0,0.4537040746045758,0.7575443251835507,1.0,0.9459991546207607,0.9200358358305853,1.0
community_1000_0.4,0.7952812210305518,0.8657744618882591,0.988326814103819,0.4684986905900992,0.6846027112188585,0.9973439474563226,0.916974573713708,0.8988123390661787,1.0
community_1000_0.5,0.7026669809737062,0.8106514420646628,0.8693035098896718,0.49608168831064703,0.6136489604015836,0.9821384408410117,0.919812434355405,0.890800926177205,0.989024177846321
community_1000_0.6,0.5446045661908523,0.6675988640674239,0.7928757691570529,0.23816827130763663,0.5151699456159251,0.8873590233723883,0.8502222725320385,0.8634224965972107,0.9220849796203436
community_1000_0.7,0.3239435140339524,0.38895974775238873,0.6802370811736035,0.22573421116667913,0.2955378968443777,0.0,0.6480619614979553,0.7702271329004968,0.7141571388823179
community_1000_0.8,0.21496792725274716,0.1966476522694688,0.641189699259701,0.12855603348605735,0.12960608769791704,0.0,0.24340023332727448,0.2618145987004663,0.47410479839970293
community_500_0.1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
community_500_0.2,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
community_500_0.3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
community_500_0.4,0.7896458521344292,0.9247069010879824,0.9454924784545735,0.6387682457232607,0.7232207758210663,0.9388401421445371,0.9747261408783384,0.9753548323357493,0.9909699837279535
community_500_0.5,0.7763111799732055,0.8438918675758283,0.8474758664533153,0.3673415644185022,0.5797352050755954,0.9448170190748376,0.9347983511809167,0.9508934147432924,0.9849558151565997
community_500_0.6,0.4367527741389669,0.5965173506929543,0.6768209139237226,0.2847484374588531,0.42632797873021283,0.0,0.9036984679793514,0.9502655558288718,0.8212440039875127
community_500_0.7,0.2696105929729272,0.31089713437123256,0.5958198841050901,0.2327452608191647,0.25774514143359933,0.0,0.5600219179839547,0.7157521144071233,0.5664712435570473
community_500_0.8,0.15351457215065034,0.21487559104597842,0.6043895939637898,0.14101818441661262,0.1206792836610092,0.0,0.19393301907429938,0.19921412372560493,0.26023399098726263
